genome,species,representative,genome_is_representative,database,genome_type,species_name,source
MG289.mbin.12,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10898248.sbin.5,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
ERR4705329.sbin.7,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG32.sbin.5,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
ERR10897865.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG492.sbin.5,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR16471023.mbin.4,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
MG833.mbin.9,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
PV36.mbin.2,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
ERR10897897.mbin.4,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG391.sbin.15,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
ERR10897719.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10897961.mbin.2,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG61.mbin.9,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SAMN00064911.mbin.3,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR17635802.mbin.1,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
MG1339.mbin.3,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
ERR10897775.mbin.3,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR16471068.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635690.mbin.13,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG279.mbin.3,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709632.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG359.mbin.15,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635746.mbin.6,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG1368.sbin.3,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10897879.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1223.mbin.18,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1121.mbin.12,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1272.mbin.11,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR13167729.sbin.8,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR21425777.sbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10897746.sbin.3,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
ERR10898305.mbin.2,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG605.mbin.10,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR13167562.mbin.1,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR17635618.mbin.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
MG251.mbin.5,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR5575607.mbin.2,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG1247.sbin.9,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG396.sbin.3,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG656.sbin.25,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG691.mbin.8,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1313.mbin.14,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
