,Assembly Accession,Assembly BioProject Lineage Title,Assembly BioSample BioProject Title,Assembly BioSample Project name,Assembly BioSample Description Title,Assembly BioSample Breed,Assembly BioSample Host,Assembly BioSample Ecotype,Assembly BioSample Cultivar,Assembly BioSample Host disease,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Tissue,Assembly BioSample Models,is_human,human_subcategory,species
170207,GCF_008694885.1,Lactobacillus crispatus NCK strains,,,Microbe sample from Lactobacillus crispatus,,chicken,,,,gut (caecum),,,"Microbe, viral or environmental",,,100122
170208,GCF_008694885.1,"The Lactobacillus genus, a use case for Bactopia.",,,Microbe sample from Lactobacillus crispatus,,chicken,,,,gut (caecum),,,"Microbe, viral or environmental",,,100122
170209,GCF_008694925.1,Lactobacillus crispatus NCK strains,,,Microbe sample from Lactobacillus crispatus,,chicken,,,,gut (caecum),,,"Microbe, viral or environmental",,,100122
170210,GCF_008694925.1,"The Lactobacillus genus, a use case for Bactopia.",,,Microbe sample from Lactobacillus crispatus,,chicken,,,,gut (caecum),,,"Microbe, viral or environmental",,,100122
170211,GCF_008694935.1,Lactobacillus crispatus NCK strains,,,Microbe sample from Lactobacillus crispatus,,chicken,,,,gut (crop),,,"Microbe, viral or environmental",,,100122
170212,GCF_008694935.1,"The Lactobacillus genus, a use case for Bactopia.",,,Microbe sample from Lactobacillus crispatus,,chicken,,,,gut (crop),,,"Microbe, viral or environmental",,,100122
170213,GCF_008694975.1,Lactobacillus crispatus NCK strains,,,Microbe sample from Lactobacillus crispatus,,chicken,,,,gut (lower GI),,,"Microbe, viral or environmental",,,100122
170214,GCF_008694975.1,"The Lactobacillus genus, a use case for Bactopia.",,,Microbe sample from Lactobacillus crispatus,,chicken,,,,gut (lower GI),,,"Microbe, viral or environmental",,,100122
170215,GCF_008694985.1,Lactobacillus crispatus NCK strains,,,Microbe sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"Microbe, viral or environmental",True,unknown,100122
170217,GCF_008868575.1,Genome sequencing and assembly of bacteria isolated from different environments,,,Microbe sample from Lactobacillus crispatus,,homo sapiens,,,,vagina,,,"Microbe, viral or environmental",True,female reproductive tract,100122
170218,GCF_009730275.1,FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science,,,Pathogen: clinical or host-associated sample from Lactobacillus crispatus,,homo sapiens,,,Unknown,mid-vaginal wall,,,Pathogen.cl,True,female reproductive tract,100122
170088,GCF_009769205.1,Lactobacillus crispatus strain:DC21.1 | isolate:DC21.1 Genome sequencing,,,Microbe sample from Lactobacillus crispatus,,Gallus gallus,,,,,,,"Microbe, viral or environmental",,,100122
170220,GCF_009857225.1,Lactobacillus crispatus strain:Indica1 Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"Microbe, viral or environmental",True,unknown,100122
170221,GCF_009857395.1,Lactobacillus crispatus strain:Indica2 Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"Microbe, viral or environmental",True,unknown,100122
170222,GCF_009933525.1,Lactic acid bacteria isolates from chicken cecal samples,,,Microbe sample from Lactobacillus crispatus,,Gallus gallus,,,,missing,,,"Microbe, viral or environmental",,,100122
170223,GCF_011029265.1,Vaginal Lactic Acid Bacteria Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,homo sapiens,,,,vagina,,,"Microbe, viral or environmental",True,female reproductive tract,100122
170224,GCF_012030075.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100122
170226,GCF_012843585.1,Pig intestinal bacterial collection (PIBAC),,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,Sus scrofa domesticus,,,,feces,,,"MIGS.ba,MIGS/MIMS/MIMARKS.host-associated",,,100122
170227,GCF_013456995.1,Lactobacillus crispatus B4 Genome sequencing and assembly,,,Lactobacillus crispatus B4 whole-genome sequencing,,homo sapiens,,,,gut,,,"Microbe, viral or environmental",True,gastrointestinal,100122
170228,GCF_013487905.1,Lactic acid bacteria isolates from horse fecal samples,,,Microbe sample from Lactobacillus crispatus,,Equus caballus,,,,NCSU Equine Educational Unit,,,"Microbe, viral or environmental",,,100122
170229,GCF_013778545.1,Lactobacillus crispatus strain:DSM 29598 Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,,,,,rye sourdough,,,"Microbe, viral or environmental",,,100122
170230,GCF_902386155.1,A unified sequence catalogue of the human gut microbiome,,Human gut genomes,Human gut genome,,,,,,human gut,,,Generic,True,gastrointestinal,100122
187324,GCF_000159155.2,Reference genome for the Human Microbiome Project,,"Gardnerella vaginalis 317, ATCC 14019",MIGS Cultured Bacterial/Archaeal sample from Gardnerella vaginalis ATCC 14019,,homo sapiens,,,,,,,MIGS.ba,True,unknown,100323
187317,GCF_000165635.1,Gardnerella vaginalis 41V genome sequencing,,,Sample from Gardnerella vaginalis 41V,,,,,,,,,Generic,,,100323
187321,GCF_000178355.1,Gardnerella vaginalis ATCC 14018 genome sequencing,,,Sample from Gardnerella vaginalis ATCC 14018 = JCM 11026,,,,,,,,,Generic,,,100323
187327,GCF_000213955.1,Reference genome for Human Microbiome Project,,Gardnerella vaginalis HMP9231,MIGS Cultured Bacterial/Archaeal sample from Gardnerella vaginalis HMP9231,,homo sapiens,,,,,,,MIGS.ba,True,unknown,100323
187314,GCF_000214315.1,Reference genome for Human Microbiome Project,,Gardnerella vaginalis 315-A,MIGS Cultured Bacterial/Archaeal sample from Gardnerella vaginalis 315-A,,homo sapiens,,,,,,,MIGS.ba,True,unknown,100323
187313,GCF_000263435.1,Gardnerella vaginalis 284V genome sequencing,,,Generic sample from Gardnerella vaginalis 284V,,,,,,,,,Generic,,,100323
187318,GCF_000263475.1,Gardnerella vaginalis 55152 genome sequencing,,,Generic sample from Gardnerella vaginalis 55152,,,,,,,,,Generic,,,100323
